Liu et al. (2018),"Microsoft HoloLens, Vuforia markers for tracking","Unity3D, Vuforia markers, server for device synchronization",Real-time synchronization maintained user coordination in multi-user setting,Marker-based tracking; visibility influenced by lighting conditions,"Flexible, adaptable with markers, though lighting can impact tracking accuracy",Moderate; accurate visualization of configurations for customer preview,Potential tracking inaccuracies in varying lighting; resolved through simple interactions,Conflict management in customization for seamless experience; marker relocation,System optimized for customization flexibility; server synchronization aided user coordination
Liu et al. (2022),Wearable AR devices (smart helmets) with Digital Twin integration,"Digital Twins (process, operator, quality DTs), Knowledge Graph for task allocation",Real-time synchronization; adaptive task allocation based on operator state,Marker-based tracking enables precise spatial alignment,Optimized for variable lighting; tolerance management allows for large-scale tasks,High; precision-driven tolerance allocation for space structure assembly,Assembly misalignments; managed by quality DT with real-time alerts,Dynamic tolerance allocation and error monitoring reduce rework,System improves flexibility and precision in demanding aerospace assembly environments
Lotsaris et al. (2021),"Microsoft HoloLens, ROS-based platform","Digital Twin, QR code-based calibration, RosBridge for robot communication",Real-time updates for smooth interaction with mobile robots,Flexible to lighting variations; QR codes ensure alignment,Adaptable to lighting and complex task environments; real-time safety updates,Moderate; precise robot control and safety visualization critical,Potential tracking issues with QR codes; real-time error alerts aid recovery,Direct robot control in AR; safety monitoring for proactive error handling,Real-time safety data enhances situational awareness and flexibility in industrial tasks
Lu et al. (2021),"Microsoft HoloLens, desktop PC with VRML","VRML for 3D models, YOLOv2 for multi-user detection, ROUTE statements",Real-time data synchronization via collaborative server,"VRML-based, performance-optimized for desktop systems",Adaptable to lighting conditions; efficient rendering on low-cost hardware,Moderate; accurate visualization for collaborative urban planning,Possible interaction conflicts in multi-user settings; YOLOv2 reduces overlap,VRML model optimizations to balance fidelity and performance,System manages real-time visualization of complex industrial park data in AR
Martins et al. (2024),"Microsoft HoloLens 2, ROS Noetic and Map Frame Matcher","ROS navigation, Map Frame Matcher for spatial alignment, TCP Connector",Wi-Fi communication with low latency for task updates,QR code-based alignment helps maintain spatial accuracy,"Scalability limits with current port-based communication, QR code stability",High; precise DT alignment for safe multi-robot task execution,Possible drift in alignment; periodic calibration to mitigate,"Real-time updates, safety zones, error correction through QR code calibration","Effective in complex, dynamic industrial settings for flexible task control and safety"
Michalos et al. (2018),"Epson Moverio Smart Glasses, Motorola Moto 360 smartwatch","ROS-based architecture, SafetyEye 3D safety camera, SDO protocol for force guidance",Real-time Wi-Fi updates for uninterrupted task monitoring and guidance,SafetyEye dynamic zones maintain precision tracking; glasses enhance visibility,Adjusts to operator movement with adaptable warning/danger zones,High; real-time tracking for operator safety and robot guidance accuracy,Potential missteps in AR-based guidance; real-time safety PLC manages errors,"SafetyEye dynamic zones, real-time AR instructions, emergency stop on violations","Effective for large, shared industrial spaces; integrates multiple safety and interaction layers"
Mourtzis et al. (2021),"Microsoft HoloLens, cloud-based MR platform","Voxel-based modeling, CNN-based recognition, cloud API for real-time data",Real-time synchronization with cloud for low-latency updates,Stable MR rendering in industrial environments,"Efficient voxel modeling for large-scale, complex parts in AM",Moderate to high; accurate visualization required for part customization,Misalignment mitigated by recursive spatial algorithms and cloud data backup,"Cloud-based recovery, voxel modeling for error correction and rapid prototyping",System supports detailed 3D design and collaborative customization for large assemblies
Otto et al. (2016),"Powerwalls, Microsoft PixelSense tabletop, HMDs, SAR projectors","VRPN and ARVIDA protocols, markerless multi-depth tracking, 3D engine for CAD data",Real-time visualization with spatial calibration for accurate alignment,"Powerwalls and SAR projections provide large-scale, true-to-scale displays",Optimized for industrial environments; adaptable to varying workspace setups,High; accurate SAR projection alignment essential for assembly planning,Potential misalignment in spatial projection; mitigated by regular spatial calibration,"Layered physical-virtual feedback, spatial accuracy tools for consistent visualization","System handles complex visualization and collaboration needs, maintaining precision in large spaces"
Putri et al. (2024),"AR headsets, wearable sensors, centralized communication platform","IoT-enabled wearables, real-time data analytics, centralized safety data system",Immediate alerts for hazard prevention and incident management,User-centered AR with minimal distraction in dynamic industrial space,"Optimized for high-noise, high-hazard manufacturing environment",Moderate; quick incident response and real-time safety monitoring,Potential alert saturation; mitigated by targeted safety cues and feedback loops,"Wearable alerts, real-time visual cues, cross-department safety communication",System supports safety in dynamic manufacturing spaces with immediate corrective action options
Reis et al. (2021),"HTC Vive (VR), Microsoft HoloLens (AR)","Unity engine, VRPN, optimized for 3D manipulation and real-time data access",Real-time data access from digital twin; syncs VR/AR views in simulation,AR limited by model size; VR supports larger detailed models,"Developed for high-risk FPSO settings; robust, stable rendering across platforms",High; safety-critical simulations require precise tracking and real-time adjustments,Potential for spatial lag; managed with real-time synchronization and feedback tools,"Safety zones, error correction in simulation, collaborative task feedback",Dual reality platform supports detailed task simulations in hazardous environments
Restas et al. (2024),"Web VR, Mobile AR, HoloLens AR","Unity-based with Product, Application, and Physical Device Layers, API integration",Real-time updates for cross-device synchronization; API transactions enable live data,Web VR and HoloLens AR adapted for flexible display and interaction,"Flexible across mobile, desktop, and HMD platforms; database-agnostic design",Moderate; precise manipulation of product configurations in real-time,Potential sync lag; managed with modular feedback and continuity across applications,"API integration with marketplace databases, real-time updates, platform modularity",Toolkit supports real-time data transactions and robust functionality for collaborative product customization
Rogeau and Rezaei Rad (2024),"Microsoft HoloLens 2, ABB 6400 robotic arm","Grasshopper, Rhinoceros, Manis, COMPAS RRC, Python-based task allocation",Real-time updates for task guidance and alignment cues in AR,Holographic projection for real-time task adjustments,"Variable workspace; humans adapt to material tolerances, robots manage precise tasks",High; AR assists in precise joint alignment and trajectory tracking,Potential alignment drift; managed with QR codes and manual verification pauses,Task allocation based on feasibility; AR support for manual adjustments,Framework supports multi-agent collaborative tasks in timber construction with stability-focused design
Rubart et al. (2022),"Microsoft HoloLens 2, tablets, multitouch dashboards","Unity, MRTK, OPC UA protocol, Kinect for gesture tracking, 3D data visualization",Real-time data and alert syncing for instant feedback,AR provides mobile data access; challenges in complex dashboard navigation,Adaptable to both static and mobile control rooms in manufacturing,Moderate; real-time data and alert precision critical for incident response,Potential tracking errors in dynamic environments; real-time correction with shared annotations,"Multimodal inputs, mobile AR, and feedback loops for incident alerts",Platform enables situational awareness with synchronized dashboards and AR for remote/local teams
Schmidt et al. (2022),Microsoft HoloLens 2,"Unity, MRTK, MQTT for VDM Hub, ABB RobotStudio, real-time data sync",Real-time synchronization via MQTT; instant robot data and alerts,HoloLens used for real-time feedback; handles complex data views,Adapted for dynamic robotic cell environments with space constraints,"High; detailed visualization for safety, layout, and path optimization",Potential tracking errors in dynamic setup; real-time feedback improves resilience,"Task-specific visual alerts, real-time error correction via holographic views",System integrates optimization insights with live robotic data for efficient troubleshooting
Stacchio et al. (2023),Microsoft HoloLens 2,"Unity, MRTK, REST API for document access and annotation storage",Minimal; asynchronous updates via REST API reduce headset load,MR interface optimized for document display and annotation,Adapts to assembly environments; hands-free operation minimizes task-switching,Moderate; annotations aid in real-time task tracking and quality checks,"Annotation management errors; resolved with undo, redo, and reset options","Asynchronous annotation sharing, server-based computation, cloud document storage","System allows flexible document interaction, tailored for real-time assembly support in industry"
Verlinden and Bekker (2017),Microsoft HoloLens,"3D scanning, WAAM performance scorecards, interactive parameter adjustments",Real-time data and design sync for situational accuracy,Adapted for large-scale outdoor construction visualization,Outdoor-ready; supports environmental accuracy through 3D scans and overlays,High; spatial precision critical for urban design alignment,Potential model misalignment in dynamic conditions; real-time feedback supports correction,"Material efficiency data, real-time performance feedback, adaptable designs","System supports large-scale design customization, focusing on efficiency in additive manufacturing"
Vidal-Balea et al. (2020),Microsoft HoloLens,"Unity, custom UDP-TCP protocol, master-slave synchronization",Low; real-time updates with delays below 5 ms on optimized networks,Adapts to large-scale assembly; limitations with anchor sync times,Shipyard-ready; real-time data exchange over 5 GHz WiFi minimizes interference,Moderate; critical for visual alignment in multi-user collaborative setting,Potential sync delays; managed with master-slave role and regular packet updates,"Anchor synchronization, feedback-driven alignment, packet redundancy",Collaborative AR optimized for shipbuilding; balances high precision with real-time performance
Wang et al. (2022) - Cross-plattform,Microsoft HoloLens 2,"Unity, custom UDP-TCP communication, RGB-D sensors",Low latency; asynchronous updates and real-time sync,Handles large shipyard spaces; dynamic repositioning aids annotation clarity,"Compatible with metal-dense, large-scale shipyards; device-cloud integration minimizes latency",High; requires precise annotation placement and stable sync across devices,Potential desync or misalignment; handled through feedback and dynamic adjustments,"Multi-device sync, cloud redundancy, dynamic annotation repositioning","System supports flexible cross-platform annotation and is optimized for large, complex spaces"
Wang et al. (2022) - Multi-person,"Microsoft HoloLens 2, Azure Kinect, VR terminals","Unity, marker-based alignment, hand tracking, role-specific tools",Low latency; real-time sync across multiple HoloLens devices,Optimized for spatial manipulation in large-scale manufacturing setups,Precision-focused; requires stable alignment and shared spatial views,High; real-time collision detection and hand-tracking require accuracy,Potential for desync in role-based tasks; managed with real-time feedback,"Synchronized multi-user environment, role-based flexibility, feedback loops",System facilitates accurate role-based evaluation; handles complex spatial tasks efficiently
Yang et al. (2023),"Microsoft HoloLens 2, Surface Pro tablets, desktops","Unity, VIZOR, ROS backend, task synchronization, marker-based tracking",Low latency with real-time synchronization for task acknowledgment,Adapted to large timber structures; manages shared workspace views,Prefabrication sites with human-robot shared zones; requires spatial accuracy,High; accurate role-based tasks and acknowledgment for task continuity,Potential task misalignment; handled with real-time feedback and safety checks,"Task prompts, role-specific coordination, audio/visual cues for task alignment",System supports seamless human-robot interaction with role flexibility and spatial alignment
